Id,Active_cust,estimated_income,months_on_network,complaints_count,plan_changes_count,relocated_new_place,monthly_bill_avg,CSAT_Survay_Score,high_talktime_flag,internet_time
4483,Yes,40818,105,1,4,No,182.98,1,No,9
4484,Yes,84360,92,2,1,No,195.31,2,Yes,236
4485,Yes,61485,28,0,3,No,180.97,4,Yes,233
4486,No,81549,50,1,1,No,164.02,2,Yes,6
4487,Yes,65637,65,1,0,Yes,62.37,5,No,28
4488,Yes,65173,101,1,4,No,37.79,5,No,70
4489,No,68278,21,0,0,No,135.01,2,No,6
4490,Yes,94600,14,0,0,No,109.78,2,Yes,93
4491,Yes,68730,50,1,0,No,127.97,2,No,135
4492,Yes,87183,19,0,2,No,149.06,2,No,4
4493,Yes,85903,106,1,3,No,91.77,5,No,28
4494,No,61734,54,0,4,No,91.18,3,No,58
4495,No,63521,43,0,3,No,150.82,4,Yes,19
4496,Yes,57443,65,0,2,No,41.71,4,Yes,176
4497,Yes,90663,82,3,0,No,192.56,2,Yes,30
4498,Yes,46178,36,0,4,No,46.39,5,Yes,221
4499,Yes,50540,28,0,3,No,158.05,5,No,191
4500,Yes,59475,82,1,0,No,85.49,3,Yes,66
4501,Yes,42036,82,4,4,No,98.66,5,No,72
4502,Yes,53174,28,3,0,No,182.63,3,No,238
4503,Yes,87721,40,0,1,No,137.4,1,Yes,23
4504,Yes,78028,11,2,3,No,112.25,5,No,89
4505,Yes,56585,89,2,2,No,121.36,2,Yes,209
4506,Yes,81056,44,1,4,No,109.02,5,Yes,40
4507,No,106638,105,1,2,No,142.96,1,No,141
4508,Yes,71262,50,0,3,No,102.47,5,Yes,53
4509,Yes,93407,89,0,3,No,33.73,3,No,90
4510,No,82031,10,1,1,No,107.14,5,No,197
4511,Yes,59111,82,1,2,No,72.94,2,Yes,13
4512,Yes,68945,66,0,4,No,188.64,4,No,151
4513,Yes,75525,56,1,3,No,145.62,3,Yes,200
4514,Yes,50100,36,0,1,No,183.68,2,No,200
4515,Yes,20000,107,2,4,Yes,151.74,2,Yes,224
4516,Yes,48318,41,1,1,Yes,51.98,4,No,30
4517,Yes,21837,99,0,0,No,42.3,1,No,88
4518,No,49970,22,1,0,No,192.73,2,Yes,216
4519,Yes,30851,61,1,1,No,184.92,1,Yes,65
4520,Yes,82602,44,0,1,No,168.63,2,No,207
4521,No,41348,116,1,0,No,142.81,4,Yes,176
4522,Yes,75882,85,0,0,No,182.36,5,No,174
4523,No,80332,118,0,4,No,84.01,3,No,78
4524,Yes,79030,81,4,4,No,93.55,3,No,19
4525,No,27633,32,1,3,No,160.21,2,Yes,231
4526,Yes,87452,91,1,0,No,91.33,3,No,182
4527,No,73406,8,0,2,No,185.19,3,No,34
4528,No,81085,34,1,1,No,44.93,3,Yes,193
4529,Yes,101597,110,1,3,No,186.74,1,Yes,86
4530,Yes,80886,34,3,0,No,104.82,5,No,160
4531,Yes,41346,106,2,0,No,43.86,5,No,178
4532,Yes,78065,84,1,4,No,67.76,1,Yes,156
4533,Yes,34927,104,2,0,No,195.11,2,No,47
4534,Yes,63740,46,1,2,No,186.9,4,No,194
4535,Yes,54935,63,2,4,No,50.68,4,No,5
4536,Yes,65203,52,0,4,Yes,72.57,2,No,211
4537,Yes,34809,24,0,1,No,124.6,4,Yes,218
4538,Yes,37112,38,0,0,No,165.95,3,No,118
4539,Yes,56012,7,2,1,No,33.85,5,Yes,236
4540,Yes,60549,105,0,0,No,194.59,4,Yes,155
4541,Yes,56484,53,0,1,No,151.22,1,No,148
4542,Yes,94009,118,0,4,No,80.83,4,Yes,19
4543,Yes,73472,10,2,1,No,118.78,5,Yes,138
4544,Yes,72923,38,2,0,No,192.59,1,No,129
4545,Yes,57353,42,0,2,No,131.31,3,Yes,97
4546,No,37163,116,2,4,No,77.35,3,No,236
4547,Yes,64917,53,1,3,No,168.98,2,No,2
4548,Yes,101145,83,1,0,No,60.12,1,No,27
4549,Yes,69487,6,2,1,No,111.81,1,No,91
4550,No,87263,49,0,3,No,96.54,4,Yes,73
4551,No,89787,74,0,4,No,166.25,3,No,90
4552,Yes,76190,86,0,3,No,63.72,5,Yes,154
4553,Yes,69405,57,0,4,No,31.78,2,Yes,181
4554,No,45245,101,1,2,Yes,135.99,2,No,191
4555,Yes,60831,43,0,4,No,96.02,3,No,37
4556,Yes,57782,28,0,1,No,87.23,4,Yes,220
4557,Yes,71599,86,1,4,No,171.54,5,No,22
4558,Yes,36718,63,0,4,No,141.04,2,No,31
4559,No,54254,41,2,1,No,161.35,1,No,112
4560,No,73080,0,0,4,No,118.89,5,No,66
4561,No,50957,48,0,2,No,136.12,4,Yes,96
4562,Yes,46687,59,0,2,No,148.88,4,Yes,94
4563,No,49171,46,0,1,No,136.41,1,No,228
4564,Yes,59551,15,1,2,No,160.25,3,Yes,24
4565,Yes,20000,109,1,4,No,109.44,4,No,171
4566,No,50076,96,0,2,No,97.93,4,No,143
4567,Yes,84055,47,1,4,No,73.48,3,No,194
4568,Yes,71477,66,0,4,No,31.12,1,Yes,131
4569,Yes,73400,32,0,4,Yes,162.81,3,No,185
4570,No,28446,42,0,0,No,91.51,2,Yes,61
4571,Yes,56716,2,0,2,No,44.62,3,No,223
4572,Yes,62682,111,1,0,Yes,105.65,5,No,171
4573,Yes,74287,90,0,2,No,183.73,5,No,162
4574,No,87217,2,1,4,No,101.02,1,No,8
4575,No,84094,64,0,2,No,175.8,2,Yes,138
4576,Yes,53292,7,1,1,No,60.85,4,No,5
4577,Yes,53750,31,1,4,No,196.63,4,Yes,185
4578,Yes,93240,82,0,3,Yes,114.45,1,No,229
4579,No,57798,59,0,4,No,74.2,5,No,219
4580,Yes,43348,19,1,0,No,177.34,1,No,132
4581,No,60857,76,0,3,No,198.93,5,No,212
4582,Yes,91987,107,0,1,Yes,75.39,1,No,104
4583,No,46902,61,0,2,No,75.59,3,No,20
4584,No,56422,73,0,4,No,194.36,2,No,3
4585,Yes,47729,18,0,0,No,149.21,2,No,54
4586,No,84127,59,0,1,No,120.67,1,No,98
4587,Yes,70757,84,2,1,No,97.18,5,No,180
4588,Yes,83517,108,1,1,No,70.0,2,No,49
4589,Yes,96300,70,0,4,No,166.39,4,Yes,166
4590,No,34757,110,0,0,No,126.37,1,Yes,84
4591,Yes,49816,110,1,0,No,53.78,2,No,120
4592,Yes,56329,89,0,2,No,120.18,2,Yes,57
4593,Yes,66376,116,2,1,No,85.29,5,Yes,122
4594,Yes,75117,50,1,4,Yes,175.83,3,No,82
4595,Yes,55170,4,1,0,No,123.55,5,No,5
4596,Yes,51161,57,0,2,No,113.17,1,No,176
4597,No,84133,50,1,3,No,143.49,4,Yes,161
4598,Yes,75921,56,1,4,No,181.94,1,Yes,118
4599,Yes,71317,50,1,2,Yes,162.63,1,Yes,134
4600,Yes,22084,19,0,4,Yes,62.4,2,Yes,64
4601,Yes,89133,88,1,2,Yes,109.5,5,No,178
4602,No,68679,94,0,4,No,92.04,5,No,119
4603,No,61760,29,0,4,Yes,192.6,2,No,214
4604,Yes,48613,59,0,1,No,98.62,5,Yes,139
4605,No,52341,83,1,4,No,115.22,3,No,197
4606,No,47181,15,0,1,No,128.73,3,No,180
4607,No,25048,43,1,1,No,73.55,2,Yes,58
4608,Yes,48649,25,0,1,No,115.12,2,Yes,205
4609,No,33019,1,1,4,No,51.12,1,No,214
4610,Yes,63790,90,3,3,No,97.29,1,No,178
4611,Yes,41984,57,1,3,No,199.07,5,Yes,112
4612,Yes,79598,101,0,2,No,126.51,3,Yes,103
4613,Yes,31713,36,1,1,No,138.06,2,No,132
4614,Yes,88894,4,0,1,No,129.92,5,Yes,205
4615,Yes,81732,61,1,3,No,37.44,4,No,38
4616,Yes,43675,27,0,2,No,168.34,3,No,113
4617,No,63114,53,0,2,No,72.05,5,No,23
4618,No,47912,74,0,3,No,52.59,2,No,147
4619,Yes,76571,45,0,2,No,198.23,2,No,6
4620,No,100997,21,3,1,No,155.16,5,No,166
4621,No,88621,12,0,1,No,184.4,2,No,64
4622,No,51245,120,0,2,No,91.58,3,Yes,142
4623,Yes,67292,43,0,3,No,106.95,5,Yes,173
4624,Yes,95445,65,0,2,No,100.24,3,Yes,236
4625,No,75485,18,0,2,No,121.12,1,No,4
4626,Yes,85202,67,0,1,No,185.89,2,Yes,231
4627,Yes,78024,115,2,1,No,87.58,1,Yes,228
4628,Yes,66525,65,1,4,No,193.95,1,No,86
4629,Yes,63610,27,0,2,No,52.83,3,Yes,98
4630,Yes,40781,67,0,1,No,154.34,5,Yes,144
4631,Yes,49683,40,0,3,No,186.31,2,No,74
4632,Yes,46963,103,0,1,No,136.59,2,No,23
4633,No,57973,11,0,4,No,71.27,3,No,197
4634,No,66990,89,1,2,No,86.9,5,No,113
4635,Yes,62841,70,0,1,No,98.84,1,No,198
4636,No,69317,84,1,2,No,135.59,5,Yes,81
4637,Yes,78284,30,0,1,No,188.11,2,Yes,239
4638,Yes,56688,29,1,3,No,57.33,2,Yes,56
4639,No,79759,43,0,0,No,164.24,5,No,93
4640,No,87763,50,1,3,No,114.25,3,No,178
4641,No,73302,107,1,3,No,48.42,3,No,107
4642,Yes,54109,75,0,1,No,150.46,3,No,176
4643,No,83933,35,1,0,No,54.89,2,No,107
4644,Yes,74652,16,0,1,Yes,62.41,3,No,77
4645,No,77376,58,1,3,Yes,40.47,3,No,235
4646,No,95703,53,2,2,No,112.04,1,No,102
4647,Yes,79188,49,1,2,No,107.67,1,Yes,109
4648,Yes,96485,117,2,1,No,180.49,3,Yes,152
4649,No,62030,78,2,2,No,131.45,1,No,93
4650,Yes,56371,67,0,2,No,65.64,5,Yes,230
4651,Yes,87978,117,0,1,No,159.75,3,Yes,189
4652,No,45285,57,2,2,No,81.61,4,No,8
4653,Yes,102768,79,0,4,No,90.75,5,No,200
4654,No,91038,71,2,0,Yes,190.58,1,No,179
4655,Yes,66752,56,0,4,No,105.55,5,No,10
4656,Yes,89025,15,2,2,No,63.19,1,Yes,45
4657,No,78246,35,1,2,No,53.94,3,No,181
4658,Yes,39199,0,1,2,Yes,93.35,4,Yes,148
4659,Yes,48674,56,0,1,No,115.35,4,Yes,240
4660,No,70714,46,0,4,No,185.65,4,Yes,54
4661,Yes,68190,61,0,3,No,64.89,5,No,43
4662,Yes,91162,77,1,2,No,112.47,5,No,132
4663,Yes,71041,101,2,0,No,187.48,2,Yes,167
4664,No,39625,76,2,2,No,146.95,1,No,225
4665,No,54093,84,1,3,No,52.24,1,Yes,16
4666,No,79861,84,1,2,No,113.13,2,No,72
4667,Yes,28547,42,0,2,No,62.31,1,No,87
4668,No,36772,112,0,4,No,135.45,5,No,143
4669,Yes,57546,63,0,2,No,137.93,3,No,67
4670,Yes,83534,41,0,3,Yes,122.16,1,No,151
4671,Yes,60665,36,0,3,No,58.78,5,Yes,119
4672,No,74218,22,1,4,No,145.88,3,No,114
4673,No,65096,79,0,2,No,149.57,2,Yes,33
4674,Yes,62182,50,1,0,No,87.51,3,No,128
4675,Yes,51924,75,2,0,No,124.56,1,No,37
4676,No,81796,63,1,4,No,40.13,1,No,53
4677,Yes,39914,28,0,4,No,156.82,4,No,64
4678,No,60326,67,0,1,No,89.07,1,Yes,198
4679,Yes,87922,107,4,0,No,110.95,4,No,62
4680,Yes,49715,52,0,2,No,87.93,4,Yes,132
4681,Yes,33873,56,0,1,Yes,189.72,5,Yes,9
4682,Yes,22663,50,0,4,Yes,107.17,1,No,173
4683,No,78325,34,2,0,Yes,117.65,2,No,8
4684,Yes,79672,103,2,3,No,174.62,5,No,182
4685,No,58115,104,0,3,No,148.97,1,No,116
4686,Yes,39579,36,0,2,No,131.83,3,No,56
4687,Yes,62078,120,1,0,No,135.08,3,Yes,59
4688,Yes,88561,77,2,4,No,74.5,4,No,112
4689,Yes,39614,19,0,3,No,167.94,5,No,169
4690,No,86163,46,4,0,No,39.92,2,Yes,103
4691,Yes,31095,61,0,4,No,183.32,1,Yes,119
4692,Yes,42260,31,1,0,No,51.97,3,No,213
4693,Yes,67185,87,2,3,Yes,48.41,2,No,206
4694,Yes,83953,23,2,3,No,182.86,1,No,55
4695,Yes,94432,59,0,3,No,145.74,4,No,227
4696,No,84835,22,0,2,No,85.87,3,No,154
4697,Yes,96045,38,0,1,No,101.11,1,No,38
4698,Yes,68641,68,1,3,No,102.39,4,Yes,198
4699,Yes,52568,94,0,0,No,31.01,4,No,171
4700,No,88681,114,0,1,No,66.97,3,No,136
4701,Yes,92270,48,0,1,No,51.39,2,No,133
4702,Yes,83616,14,1,1,No,59.38,5,No,39
4703,Yes,77251,80,0,3,No,93.34,5,No,239
4704,Yes,92839,14,2,3,No,95.56,1,No,25
4705,Yes,71839,24,0,1,No,132.03,5,Yes,89
4706,Yes,64589,58,2,3,No,199.55,3,No,63
4707,No,79510,80,0,2,No,171.14,4,No,22
4708,Yes,74551,32,0,0,No,81.19,5,Yes,221
4709,No,82705,12,0,4,No,109.76,3,No,183
4710,Yes,62361,82,1,4,No,120.77,2,Yes,194
4711,Yes,83185,64,1,1,Yes,145.32,5,Yes,119
4712,Yes,82152,81,1,3,No,102.34,1,Yes,26
4713,Yes,69266,52,1,3,No,172.47,2,No,165
4714,No,49993,96,1,0,No,161.37,2,No,55
4715,Yes,89812,13,1,4,No,162.42,3,Yes,108
4716,Yes,40806,116,0,3,No,103.93,1,No,123
4717,Yes,45845,78,1,2,No,182.41,3,No,83
4718,No,68360,107,1,3,No,140.19,3,No,208
4719,Yes,20000,111,2,3,No,64.15,5,No,156
4720,No,95859,120,0,4,No,103.26,4,No,181
4721,Yes,65293,8,1,4,No,111.93,1,No,118
4722,Yes,95789,64,0,0,Yes,48.9,5,No,216
4723,Yes,101080,106,0,1,No,87.0,2,No,208
4724,Yes,61903,63,0,0,No,189.71,2,Yes,38
4725,Yes,91975,52,3,2,No,175.73,4,No,173
4726,Yes,43797,30,0,4,No,49.08,4,No,9
4727,No,73665,29,0,1,Yes,187.34,4,Yes,224
4728,No,55532,120,0,0,No,83.68,4,Yes,218
4729,No,78929,0,1,2,No,114.66,2,No,128
4730,Yes,82651,108,2,4,Yes,31.27,1,No,35
4731,Yes,61801,42,0,4,No,151.28,1,No,198
4732,Yes,75896,9,1,4,No,186.28,4,Yes,67
4733,No,83894,7,1,0,No,156.7,4,No,0
4734,No,68756,39,0,3,No,134.34,4,No,136
4735,Yes,115780,45,1,3,Yes,111.02,4,No,165
4736,Yes,62257,55,0,0,No,171.28,5,Yes,71
4737,Yes,98117,4,1,3,No,137.54,3,No,69
4738,Yes,87907,36,0,2,No,182.85,4,No,240
4739,Yes,27802,25,1,4,No,70.92,2,Yes,177
4740,Yes,94859,48,0,1,No,112.18,5,Yes,123
4741,No,86478,119,0,1,Yes,113.31,1,Yes,116
4742,Yes,67282,81,0,2,No,153.87,5,No,133
4743,Yes,72377,30,0,1,No,130.32,2,Yes,220
4744,No,74855,8,1,4,No,177.48,1,No,121
4745,Yes,92506,8,3,4,No,194.37,1,Yes,123
4746,Yes,56738,40,0,1,No,199.48,4,Yes,196
4747,Yes,96720,110,0,3,No,169.44,4,Yes,98
4748,Yes,43318,42,0,2,No,117.01,1,No,134
4749,Yes,29797,39,0,3,No,145.95,1,No,211
4750,No,76869,102,0,1,No,190.28,3,Yes,177
4751,Yes,90180,110,0,4,No,167.47,1,No,215
4752,Yes,61408,63,0,2,No,144.14,1,No,224
4753,Yes,20000,57,1,2,No,127.99,4,No,137
4754,Yes,35181,2,0,3,No,50.43,3,Yes,149
4755,No,73725,10,0,3,No,83.51,2,No,173
4756,No,64798,9,1,0,No,112.86,1,Yes,169
4757,Yes,90685,47,1,3,No,40.6,5,No,56
4758,No,66458,65,0,1,No,148.4,5,No,114
4759,Yes,50188,8,0,2,No,45.93,1,Yes,130
4760,No,71181,12,0,4,No,137.34,1,No,29
4761,Yes,85312,108,1,0,No,186.71,2,Yes,146
4762,No,92024,117,0,2,No,73.95,1,Yes,47
4763,No,62779,83,0,2,No,39.68,1,Yes,91
4764,Yes,66348,88,2,0,No,87.17,3,Yes,32
4765,Yes,80585,21,0,1,No,142.55,4,No,104
4766,No,50027,61,1,4,Yes,172.57,5,No,44
4767,No,79735,109,0,2,No,195.83,2,No,215
4768,Yes,60359,20,1,1,No,122.62,4,No,171
4769,No,63488,67,0,2,No,62.45,3,Yes,39
4770,Yes,65053,119,1,1,No,162.17,3,Yes,4
4771,Yes,67591,44,0,0,No,84.27,5,No,150
4772,Yes,103275,63,1,3,No,68.71,1,No,218
4773,Yes,55620,98,1,1,Yes,96.16,3,No,1
4774,No,56650,70,2,2,No,100.48,3,No,14
4775,Yes,93934,62,1,3,No,166.94,4,No,10
4776,No,73893,0,1,0,No,74.1,5,Yes,71
4777,Yes,80351,95,2,4,No,167.84,5,Yes,163
4778,Yes,44394,69,0,1,No,30.28,5,No,65
4779,Yes,69928,8,1,0,No,149.66,1,Yes,138
4780,Yes,81207,117,0,4,No,93.01,2,No,144
4781,Yes,51512,109,0,0,No,35.92,1,Yes,223
4782,Yes,77569,77,1,3,No,126.23,1,Yes,84
4783,Yes,60912,98,1,3,No,146.68,1,No,38
4784,Yes,52091,83,0,1,No,38.24,4,Yes,234
4785,Yes,85263,105,0,3,No,96.82,5,Yes,94
4786,Yes,87758,45,1,2,No,135.69,4,No,10
4787,No,67574,73,0,3,No,53.74,2,No,137
4788,No,74014,10,0,2,No,196.07,3,Yes,222
4789,Yes,91491,13,0,4,Yes,153.55,4,Yes,56
4790,Yes,57090,106,0,0,No,197.06,4,No,55
4791,Yes,71971,29,0,1,No,175.97,3,No,79
4792,No,57273,88,0,4,No,149.35,1,No,172
4793,Yes,44630,60,0,1,No,64.22,3,Yes,197
4794,Yes,57107,103,0,1,No,104.07,1,No,183
4795,Yes,42501,11,0,0,No,191.95,2,Yes,6
4796,Yes,73511,83,1,4,Yes,174.03,5,No,123
4797,Yes,49556,54,0,2,No,141.12,5,No,122
4798,No,37058,93,0,0,No,108.29,4,No,62
4799,Yes,79854,108,2,2,No,104.17,2,Yes,125
4800,Yes,78553,93,0,3,No,102.59,2,Yes,39
4801,Yes,58394,89,0,2,No,62.21,3,Yes,126
4802,Yes,79064,75,3,2,No,107.22,2,No,113
4803,No,48878,16,1,4,Yes,34.34,5,Yes,234
4804,Yes,57553,108,0,3,No,129.16,3,No,91
4805,No,73146,41,0,2,No,172.05,5,Yes,190
4806,Yes,85676,37,1,2,Yes,167.85,1,Yes,85
4807,Yes,57351,7,0,3,No,142.2,1,No,22
4808,No,53081,77,2,3,No,193.77,1,No,110
4809,Yes,84650,44,2,3,No,61.17,3,No,99
4810,No,77253,84,3,3,No,72.4,1,No,140
4811,Yes,67974,48,1,0,No,30.15,2,Yes,193
4812,No,88622,70,0,0,No,54.52,2,Yes,171
4813,Yes,103940,81,0,4,No,101.8,1,No,139
4814,Yes,72318,106,0,2,No,93.88,3,No,22
4815,No,53202,80,0,4,No,57.17,2,No,78
4816,No,74946,11,2,0,No,58.23,4,No,70
4817,No,48601,99,1,0,No,185.84,3,No,19
4818,No,89843,23,0,1,No,198.32,3,No,31
4819,No,50967,84,0,1,No,199.57,5,No,85
4820,Yes,61137,44,1,3,No,163.36,3,No,4
4821,Yes,48246,61,0,0,No,194.82,4,Yes,89
4822,Yes,68643,26,0,4,No,79.3,2,No,208
4823,Yes,69349,80,1,4,No,161.38,1,Yes,159
4824,Yes,79852,0,0,4,No,114.6,5,Yes,11
4825,Yes,67392,63,0,4,No,161.69,1,No,7
4826,Yes,65925,10,0,4,No,79.51,1,No,69
4827,Yes,53522,78,0,1,No,88.9,4,No,100
4828,Yes,59273,44,2,2,Yes,195.69,4,No,2
4829,Yes,37141,11,0,0,No,124.23,5,Yes,150
4830,Yes,92874,102,3,4,No,146.46,1,No,239
4831,No,63113,69,0,3,No,146.28,2,No,184
4832,No,97813,105,1,4,No,65.14,4,Yes,150
4833,Yes,62579,0,0,2,No,131.02,3,Yes,156
4834,Yes,26957,8,1,0,No,80.44,2,No,93
4835,Yes,55992,20,1,4,No,62.13,1,No,203
4836,Yes,64947,43,1,3,No,120.2,5,Yes,145
4837,Yes,66307,0,0,2,Yes,142.57,1,Yes,208
4838,Yes,78536,22,0,1,No,40.86,3,No,38
4839,Yes,68477,18,2,4,No,73.84,3,No,232
4840,Yes,58260,33,0,2,No,169.16,1,Yes,189
4841,No,46700,75,1,2,No,136.45,4,No,143
4842,No,56872,117,0,2,No,52.02,2,Yes,96
4843,Yes,77090,73,0,1,No,140.01,3,No,240
4844,Yes,82168,81,0,2,No,41.93,2,Yes,174
4845,Yes,51522,63,1,4,No,153.6,4,Yes,148
4846,Yes,85139,85,0,1,No,95.21,1,No,0
4847,No,76381,7,1,3,No,43.04,2,Yes,90
4848,Yes,47258,101,0,3,No,61.57,1,No,220
4849,No,69934,73,0,2,No,138.07,1,Yes,60
4850,Yes,72395,42,0,4,Yes,107.87,4,No,114
4851,No,43711,13,1,2,No,117.87,1,Yes,152
4852,Yes,37827,82,1,1,Yes,152.97,4,No,140
4853,No,74476,7,0,4,No,41.53,3,No,61
4854,Yes,55914,66,1,4,No,132.1,2,No,167
4855,Yes,95242,1,0,4,No,118.91,5,No,119
4856,Yes,99421,82,1,3,No,79.02,2,Yes,97
4857,Yes,74439,4,0,0,No,50.87,4,Yes,85
4858,No,84034,119,1,4,No,41.03,3,No,53
4859,No,44522,73,1,1,No,82.91,1,No,17
4860,No,38362,92,1,3,No,125.25,1,No,190
4861,Yes,62171,32,0,2,No,155.89,2,Yes,137
4862,No,39268,47,1,3,Yes,56.57,3,No,160
4863,Yes,71152,14,1,0,No,196.7,1,No,165
4864,Yes,49326,5,0,1,No,61.81,2,No,3
4865,Yes,68809,11,0,4,No,142.36,3,Yes,157
4866,Yes,61537,72,0,1,No,67.75,4,No,149
4867,Yes,77747,119,0,2,No,89.11,3,No,16
4868,Yes,71526,113,1,1,No,53.53,5,No,163
4869,Yes,56921,119,1,1,No,96.11,3,Yes,10
4870,No,37632,69,0,2,No,100.08,5,No,210
4871,Yes,68250,84,2,1,No,77.04,3,No,227
4872,Yes,30150,60,1,3,No,129.26,2,No,23
4873,Yes,89922,107,0,3,No,49.79,3,No,220
4874,Yes,75578,29,1,4,No,93.13,1,No,64
4875,Yes,81855,81,0,3,No,88.33,4,No,221
4876,Yes,45610,33,1,0,No,73.46,4,No,192
4877,Yes,72121,15,0,1,No,163.18,3,No,176
4878,Yes,51667,46,0,1,No,41.36,1,Yes,156
4879,Yes,67981,10,0,2,No,129.85,5,No,70
4880,No,45031,21,0,4,No,154.43,5,Yes,238
4881,Yes,63331,1,0,3,No,117.84,4,No,60
4882,Yes,37429,0,1,4,No,49.78,1,Yes,162
4883,No,61799,36,1,3,No,158.0,3,No,171
4884,Yes,32112,102,1,2,No,163.49,1,Yes,41
4885,Yes,99942,30,1,0,No,110.27,1,No,28
4886,No,68208,4,1,1,No,106.44,2,Yes,189
4887,Yes,65113,98,1,1,Yes,90.59,5,No,186
4888,Yes,78521,65,1,0,No,84.11,1,No,90
4889,Yes,39013,59,1,1,No,31.39,5,Yes,146
4890,Yes,49384,50,0,4,No,55.54,1,Yes,27
4891,Yes,75621,21,1,0,No,165.36,2,Yes,145
4892,Yes,68229,55,0,0,No,86.66,5,No,120
4893,Yes,50606,85,0,0,No,89.78,4,No,193
4894,Yes,77960,29,1,4,Yes,59.07,5,Yes,167
4895,Yes,71054,120,3,4,No,31.36,3,Yes,170
4896,Yes,75111,61,0,0,No,153.38,1,No,61
4897,Yes,72794,88,1,3,Yes,194.14,3,Yes,200
4898,Yes,51371,98,0,4,No,61.28,5,No,171
4899,Yes,63483,102,0,1,Yes,46.86,4,No,150
4900,No,27858,87,0,4,No,183.18,1,No,170
4901,Yes,54783,98,2,2,No,183.22,2,Yes,62
4902,Yes,60093,45,0,2,No,73.84,5,No,67
4903,Yes,77535,110,1,4,No,44.27,5,No,46
4904,Yes,75243,84,2,1,No,43.65,3,No,217
4905,No,49958,34,1,2,No,58.91,3,No,71
4906,Yes,49515,118,0,2,No,119.49,1,No,220
4907,No,91139,116,4,1,No,158.45,1,No,175
4908,Yes,59121,32,0,2,No,70.79,5,No,228
4909,No,67284,32,3,3,Yes,169.11,3,Yes,25
4910,Yes,80704,72,1,3,No,61.61,1,Yes,51
4911,No,63409,100,0,1,No,73.12,4,Yes,27
4912,Yes,61966,58,1,4,No,191.81,1,Yes,200
4913,Yes,58693,25,3,1,No,169.58,5,Yes,36
4914,Yes,54818,1,1,1,No,100.38,2,Yes,102
4915,Yes,67858,43,1,3,Yes,173.44,2,Yes,177
4916,No,28550,19,2,1,No,100.7,5,No,180
4917,Yes,57777,109,0,0,No,57.43,3,No,214
4918,Yes,75805,4,0,0,No,193.62,2,Yes,7
4919,No,73473,106,2,3,No,140.31,2,Yes,53
4920,Yes,93221,24,2,4,No,168.09,5,No,180
4921,No,81748,17,0,4,No,84.35,2,No,142
4922,No,73165,99,1,1,No,139.34,5,No,108
4923,Yes,65573,55,0,0,No,88.84,3,No,182
4924,No,55869,79,2,2,No,82.21,3,No,32
4925,Yes,75065,2,2,2,No,40.49,5,Yes,21
4926,Yes,71469,49,0,4,No,43.37,5,No,219
4927,Yes,57514,18,0,0,No,63.9,4,Yes,167
4928,Yes,47658,111,1,1,No,138.96,1,No,119
4929,No,63938,102,0,4,No,75.47,4,Yes,239
4930,No,88120,29,1,1,No,107.81,4,Yes,16
4931,Yes,67204,72,0,2,No,146.84,3,No,81
4932,Yes,65567,63,0,1,No,195.99,1,No,109
4933,No,73463,52,0,4,Yes,58.32,5,No,210
4934,Yes,74626,1,1,1,No,83.75,2,No,0
4935,Yes,69978,106,0,1,No,168.64,5,No,206
4936,Yes,64158,45,2,4,No,105.25,4,Yes,93
4937,No,54836,86,2,4,No,59.13,4,No,220
4938,Yes,85097,98,0,4,No,60.32,2,Yes,62
4939,No,56460,6,2,4,Yes,108.42,2,No,123
4940,No,96446,69,0,0,No,89.45,5,Yes,34
4941,Yes,68087,64,1,3,No,111.53,5,No,159
4942,Yes,66053,45,1,4,No,84.46,3,Yes,100
4943,No,80199,41,2,0,Yes,99.68,2,Yes,82
4944,Yes,51936,28,1,0,No,59.14,1,No,101
4945,No,76477,68,2,4,No,82.05,5,No,184
4946,No,67305,76,1,2,No,42.06,1,No,81
4947,Yes,73217,78,0,2,No,147.07,3,Yes,76
4948,No,51328,0,1,0,No,140.34,3,Yes,28
4949,No,51140,86,1,4,No,191.59,5,Yes,188
4950,No,28349,106,1,3,No,163.31,1,No,61
4951,Yes,55854,117,1,4,No,109.93,3,Yes,206
4952,Yes,54805,76,1,1,No,171.98,3,No,137
4953,Yes,51652,104,0,0,No,101.68,3,Yes,113
4954,Yes,62690,74,0,3,No,36.12,3,Yes,34
4955,Yes,66285,75,1,4,No,58.74,1,Yes,67
4956,No,74994,30,1,1,No,92.35,5,Yes,6
4957,Yes,76315,19,1,3,No,144.25,2,No,10
4958,Yes,78009,72,3,2,No,97.07,5,No,88
4959,Yes,78845,84,1,4,No,178.83,3,No,11
4960,No,70506,76,1,3,No,135.68,3,No,179
4961,Yes,66104,4,0,0,No,63.22,2,Yes,143
4962,Yes,83582,100,3,2,Yes,46.35,4,No,235
4963,Yes,78865,92,0,4,No,193.3,2,Yes,172
4964,No,35360,93,0,1,No,151.08,1,No,119
4965,Yes,61544,41,1,4,No,43.01,5,Yes,55
4966,Yes,28931,100,0,1,No,100.22,2,Yes,80
4967,No,28540,74,0,0,No,36.57,1,No,191
4968,No,54822,54,2,3,No,59.89,5,Yes,70
4969,No,62440,31,1,2,No,162.75,1,Yes,133
4970,Yes,56516,48,1,3,No,110.21,2,No,216
4971,Yes,29478,93,0,4,No,149.11,2,No,32
4972,No,80501,89,1,0,No,33.09,1,Yes,139
